,HOU_0-30,HOU_30-60,HOU_60-90,HOU_90-95,HOU_95-100,GOV
farm,13.163459133831324,14.103706214819278,15.984200376795183,15.043953295807226,12.223212052843374,7.521976647903615
fish,11.579017295454545,12.736919024999997,18.526427672727273,24.315936320454544,26.631739779545452,8.105312106818182
min,11.23104607201923,13.273054448750003,13.273054448750003,14.294058637115386,20.42008376730769,33.6931382160577
fore,10.4241313955,12.027843917884615,12.829700179076921,8.820418873115386,8.018562611923079,10.4241313955
oilext,11.05730855317647,12.062518421647061,17.088567764000004,14.072938158588235,16.083357895529414,15.078148027058822
smwork,9.707788965000002,11.649346758,11.649346758,10.678567861499998,10.678567861499998,11.649346758
mills,7.07480699372973,11.49656136481081,14.14961398745946,10.612210490594594,10.612210490594594,11.49656136481081
fact,11.159518745178573,14.203023857500002,16.232027265714283,16.232027265714283,17.24652896982143,10.14501704107143
foodpr,12.157815151833333,14.963464802256413,14.963464802256413,12.157815151833333,13.09303170197436,5.611299300846153
oilref,12.016854894821053,12.016854894821053,16.022473193094736,15.02106861852632,17.02387776766316,23.032305215073684
retail,12.50198500288889,15.180981789222225,15.180981789222225,11.608986074111112,11.608986074111112,6.250992501444445
itser,10.92177885428767,13.900445814547943,13.900445814547943,11.914667841041094,12.907556827794517,8.936000880780819
tourism,9.603766186753248,11.524519424103897,14.405649280129873,16.32640251748052,17.286779136155843,4.801883093376624
restau,8.938898983269231,11.91853197769231,15.891375970256412,15.891375970256412,18.871008964679486,5.959265988846154
transp,10.728000709643833,12.516000827917809,13.410000887054796,11.622000768780824,10.728000709643833,6.258000413958904
commun,12.563845224927709,14.496744490301202,16.429643755674697,15.463194122987948,15.463194122987948,5.79869779612048
bank,10.948639123765304,11.790842133285713,15.159654171367347,14.317451161846934,17.686263199928565,12.63304514280612
insur,9.636179568705883,12.527033439317645,16.381505266799994,15.417887309929409,16.381505266799994,11.563415482447056
pension,11.633131774520548,10.663704126643838,11.633131774520548,13.571987070273972,12.60255942239726,10.663704126643838
foodser,9.109981119691358,12.422701526851851,13.250881628641975,11.594521425061728,13.250881628641975,7.45362091611111
post,10.419316874473683,12.022288701315789,10.419316874473683,10.419316874473683,12.823774614736841,4.8089154805263155
