,2024
Gov_wealth,183.43457096
Gov_PI,1.1142466524
Gov_income,204.39135663
K_price,0.93369272253
L_price,1.089308287
farm_supply,105.59184013
farm_price,1.1395945228
K_farm_tax,0.0062491895226
L_farm_tax,0.17463800238
fish_supply,107.85564102
fish_price,1.1612209913
K_fish_tax,0.0028962917894
L_fish_tax,0.17732696569
min_supply,96.422515703
min_price,1.2182527091
K_min_tax,0.010090034742
L_min_tax,0.3927654992
fore_supply,86.576599629
fore_price,1.1331080329
K_fore_tax,0.008100625232
L_fore_tax,0.18758810705
oilext_supply,103.41433049
oilext_price,1.090799384
K_oilext_tax,0.013577417263
L_oilext_tax,0.21015051232
smwork_supply,92.409128243
smwork_price,1.0657961195
K_smwork_tax,0.0046989884128
L_smwork_tax,0.15291121712
mills_supply,84.019604496
mills_price,1.094673716
K_mills_tax,0.0090102633112
L_mills_tax,0.16766702483
fact_supply,94.199516135
fact_price,1.1546478902
K_fact_tax,0.0095369189765
L_fact_tax,0.4082232173
foodpr_supply,91.662396869
foodpr_price,1.212471563
K_foodpr_tax,0.010116769432
L_foodpr_tax,0.43092463516
oilref_supply,110.38483844
oilref_price,1.1106777544
K_oilref_tax,0.0054733595122
L_oilref_tax,0.16997238163
retail_supply,108.09314135
retail_price,1.0957609585
K_retail_tax,0.011607289899
L_retail_tax,0.19200804038
itser_supply,98.852268282
itser_price,1.1168205719
K_itser_tax,0.0061253501803
L_itser_tax,0.19797347799
tourism_supply,87.024412524
tourism_price,1.1409622943
K_tourism_tax,0.008284022314
L_tourism_tax,0.20157870501
restau_supply,94.381724515
restau_price,1.0913135293
K_restau_tax,0.010771048269
L_restau_tax,0.18688042007
transp_supply,95.322111204
transp_price,1.0606014086
K_transp_tax,0.010823846442
L_transp_tax,0.17348566061
commun_supply,111.21931121
commun_price,1.0805834971
K_commun_tax,0.010649916103
L_commun_tax,0.1808002964
bank_supply,107.58083052
bank_price,1.0197132939
K_bank_tax,0.01055558421
L_bank_tax,0.13661144939
insur_supply,107.77864799
insur_price,1.0268360291
K_insur_tax,0.0095354510401
L_insur_tax,0.13798490669
pension_supply,93.676970908
pension_price,1.0675927879
K_pension_tax,0.0089812812445
L_pension_tax,0.15792266465
foodser_supply,84.058361448
foodser_price,1.136911678
K_foodser_tax,0.0091544434341
L_foodser_tax,0.22052548085
post_supply,80.256238876
post_price,1.122390047
K_post_tax,0.082150001699
L_post_tax,0.20634506569
HOU_0-30_Wealth,329.5125906
HOU_0-30_CPI,1.1107544423
HOU_0-30_Income,366.00757379
HOU_30-60_Wealth,403.84008411
HOU_30-60_CPI,1.1113186067
HOU_30-60_Income,448.79499962
HOU_60-90_Wealth,378.94751869
HOU_60-90_CPI,1.1095810302
HOU_60-90_Income,420.47297818
HOU_90-95_Wealth,305.98917348
HOU_90-95_CPI,1.1107064795
HOU_90-95_Income,339.86415764
HOU_95-100_Wealth,436.92542692
HOU_95-100_CPI,1.1119322022
HOU_95-100_Income,485.83145216
