,2025
Gov_wealth,155.78707701
Gov_PI,0.98027294161
Gov_income,152.71385625
K_price,0.81798034466
L_price,0.9679844109
farm_supply,78.878259915
farm_price,1.0074307459
K_farm_tax,0.046120161208
L_farm_tax,0.1478398398
fish_supply,80.435055727
fish_price,0.99126340328
K_fish_tax,0.011488459772
L_fish_tax,0.11312690822
min_supply,70.967104799
min_price,0.96155393677
K_min_tax,0.023905205791
L_min_tax,0.11817306883
fore_supply,63.847749572
fore_price,1.0133838582
K_fore_tax,0.074770642479
L_fore_tax,0.15874531157
oilext_supply,80.537736918
oilext_price,0.94080813305
K_oilext_tax,0.049372261965
L_oilext_tax,0.09834181905
smwork_supply,71.920547635
smwork_price,0.95074207494
K_smwork_tax,0.063782002696
L_smwork_tax,0.10065747852
mills_supply,62.293926017
mills_price,0.99028181093
K_mills_tax,0.088777833005
L_mills_tax,0.13754111555
fact_supply,74.440806544
fact_price,0.94208190586
K_fact_tax,0.05343246877
L_fact_tax,0.10269405129
foodpr_supply,73.105131913
foodpr_price,0.95863208066
K_foodpr_tax,0.039478397184
L_foodpr_tax,0.11654753679
oilref_supply,82.486283137
oilref_price,0.96248334289
K_oilref_tax,0.028163131034
L_oilref_tax,0.1103522155
retail_supply,81.442902339
retail_price,1.0142220667
K_retail_tax,0.12590159506
L_retail_tax,0.16987293998
itser_supply,77.542426247
itser_price,0.95940257249
K_itser_tax,0.035855109021
L_itser_tax,0.10839769451
tourism_supply,64.214871318
tourism_price,1.0159098557
K_tourism_tax,0.077076737279
L_tourism_tax,0.1619209094
restau_supply,70.230222151
restau_price,1.0050535292
K_restau_tax,0.12033730942
L_restau_tax,0.1563818762
transp_supply,71.608674571
transp_price,1.0067877524
K_transp_tax,0.15498580913
L_transp_tax,0.15148692849
commun_supply,84.136883409
commun_price,1.00101951
K_commun_tax,0.12284402893
L_commun_tax,0.15513964012
bank_supply,78.497624353
bank_price,1.0114428733
K_bank_tax,0.19088128863
L_bank_tax,0.14788410732
insur_supply,81.61836384
insur_price,0.97277106726
K_insur_tax,0.13654657186
L_insur_tax,0.11029777958
pension_supply,71.033501961
pension_price,0.97531271455
K_pension_tax,0.099014619643
L_pension_tax,0.12323920523
foodser_supply,61.588276424
foodser_price,1.0257519508
K_foodser_tax,0.10600323998
L_foodser_tax,0.17659380829
post_supply,59.500976919
post_price,1.0320979094
K_post_tax,0.18450825075
L_post_tax,0.17222895707
HOU_0-30_Wealth,254.38781198
HOU_0-30_CPI,0.9878281216
HOU_0-30_Income,251.29143446
HOU_30-60_Wealth,310.53891466
HOU_30-60_CPI,0.98798035117
HOU_30-60_Income,306.80634595
HOU_60-90_Wealth,285.25840874
HOU_60-90_CPI,0.98740107402
HOU_60-90_Income,281.66445917
HOU_90-95_Wealth,221.02983895
HOU_90-95_CPI,0.98737403574
HOU_90-95_Income,218.2391241
HOU_95-100_Wealth,312.72328731
HOU_95-100_CPI,0.98698402933
HOU_95-100_Income,308.65289017
