,2021
Gov_wealth,175.63877007
Gov_PI,0.96905597598
Gov_income,170.20379975
K_price,0.91507166151
L_price,0.81998960438
farm_supply,81.604929738
farm_price,0.94770757495
K_farm_tax,0.079082900628
L_farm_tax,0.12762492382
fish_supply,85.691001231
fish_price,0.93445904266
K_fish_tax,0.057076571388
L_fish_tax,0.12157483307
min_supply,95.751439925
min_price,0.9579744456
K_min_tax,0.10309685378
L_min_tax,0.11705800555
fore_supply,72.719575465
fore_price,0.99669786417
K_fore_tax,0.1353470995
L_fore_tax,0.18000428911
oilext_supply,81.095434427
oilext_price,0.95219553706
K_oilext_tax,0.10237403058
L_oilext_tax,0.07524445318
smwork_supply,66.834831027
smwork_price,0.93477595789
K_smwork_tax,0.079872134627
L_smwork_tax,0.061421495993
mills_supply,69.037823435
mills_price,0.97665893984
K_mills_tax,0.12862165723
L_mills_tax,0.12635172141
fact_supply,78.635193094
fact_price,0.98345056026
K_fact_tax,0.14323841993
L_fact_tax,0.099940128642
foodpr_supply,74.518902172
foodpr_price,0.99004411019
K_foodpr_tax,0.14493473911
L_foodpr_tax,0.14094551003
oilref_supply,90.764318454
oilref_price,0.93585732453
K_oilref_tax,0.077232736137
L_oilref_tax,0.093823380264
retail_supply,79.503444493
retail_price,0.96425776984
K_retail_tax,0.11670557441
L_retail_tax,0.10048484331
itser_supply,72.039136954
itser_price,0.94475815776
K_itser_tax,0.089767961586
L_itser_tax,0.097464957602
tourism_supply,71.866534741
tourism_price,0.98981168838
K_tourism_tax,0.12832089949
L_tourism_tax,0.17124483334
restau_supply,73.659718275
restau_price,0.97608290651
K_restau_tax,0.13145546423
L_restau_tax,0.11123229388
transp_supply,70.27965319
transp_price,0.97268820755
K_transp_tax,0.12757086269
L_transp_tax,0.079356282838
commun_supply,81.127154698
commun_price,0.95721545257
K_commun_tax,0.10861734497
L_commun_tax,0.083344404772
bank_supply,86.97959002
bank_price,1.029180876
K_bank_tax,0.19451398765
L_bank_tax,0.079684249451
insur_supply,80.583173832
insur_price,0.96147549617
K_insur_tax,0.10578876175
L_insur_tax,0.047885781238
pension_supply,70.632488246
pension_price,0.94725282339
K_pension_tax,0.095233788488
L_pension_tax,0.071509897512
foodser_supply,72.637001383
foodser_price,1.0367829811
K_foodser_tax,0.18602867666
L_foodser_tax,0.21710342004
post_supply,67.544525695
post_price,1.0641036049
K_post_tax,0.24588730714
L_post_tax,0.17017452329
HOU_0-30_Wealth,269.61348746
HOU_0-30_CPI,0.9742934864
HOU_0-30_Income,262.68266468
HOU_30-60_Wealth,328.32831406
HOU_30-60_CPI,0.97521039156
HOU_30-60_Income,320.18918372
HOU_60-90_Wealth,299.51259578
HOU_60-90_CPI,0.97375009188
HOU_60-90_Income,291.65041766
HOU_90-95_Wealth,228.35968875
HOU_90-95_CPI,0.97279831437
HOU_90-95_Income,222.14792029
HOU_95-100_Wealth,321.10417171
HOU_95-100_CPI,0.97406322073
HOU_95-100_Income,312.77576369
