,HOU_0-30,HOU_30-60,HOU_60-90,HOU_90-95,HOU_95-100,GOV
farm,7.734357630578315,8.28681174704819,9.391719979987954,8.839265863518072,7.181903514108433,4.419632931759038
fish,9.401995437500004,10.342194981249996,15.043192699999999,19.744190418749998,21.62458950625,6.581396806250003
min,8.52381321973077,10.073597441500002,10.073597441500002,10.848489552384613,15.497842217692304,25.571439659192308
fore,7.498284335500002,8.651866540961539,9.228657643692307,6.344702130038464,5.767911027307693,7.498284335500002
oilext,9.640266936105881,10.516654839388234,14.898594355800006,12.26943064595294,14.022206452517652,13.145818549235294
smwork,8.345981690441178,10.01517802852941,10.01517802852941,9.180579859485295,9.180579859485295,10.01517802852941
mills,6.08198402227027,9.883224036189187,12.16396804454054,9.122976033405404,9.122976033405404,9.883224036189187
fact,9.072563109892856,11.5468985035,13.19645543257143,13.19645543257143,14.021233897107141,8.247784645357143
foodpr,7.441593599500001,9.158884430153849,9.158884430153849,7.441593599500001,8.014023876384615,3.4345816613076923
oilref,10.721956332,10.721956332,14.295941775999998,13.402445415,15.189438136999998,20.550416303
retail,8.84347636234568,10.73850701141975,10.73850701141975,8.211799479320986,8.211799479320986,4.421738181172841
itser,7.0083626165616435,8.919734239260276,8.919734239260276,7.645486490794523,8.282610365027395,5.73411486809589
tourism,7.883142164545453,9.459770597454543,11.824713246818183,13.401341679727272,14.189655896181819,3.9415710822727266
restau,8.174073569423078,10.898764759230772,14.531686345641027,14.531686345641027,17.25637753544872,5.4493823796153835
transp,9.659675752767122,11.269621711561642,12.074594690958904,10.464648732164388,9.659675752767122,5.634810855780821
commun,11.442712150530117,13.203129404457831,14.963546658385546,14.083338031421688,14.083338031421688,5.281251761783133
bank,12.198407754397959,13.136746812428568,16.890103044551022,15.951763986520408,19.705120218642854,14.075085870459182
insur,10.212793066000005,13.276630985799999,17.361748212199995,16.3404689056,17.361748212199995,12.255351679199997
pension,10.712750360876715,9.82002116413699,10.712750360876715,12.498208754356167,11.605479557616436,9.82002116413699
foodser,7.329964983,9.995406795000001,10.661767248,9.329046341999998,10.661767248,5.997244077
post,9.537621861710527,11.004948301973682,9.537621861710527,9.537621861710527,11.738611522105266,4.401979320789474
