,HOU_0-30,HOU_30-60,HOU_60-90,HOU_90-95,HOU_95-100,GOV
farm,14.0,15.0,17.0,16.0,13.0,8.0
fish,10.0,11.0,16.0,21.0,23.0,7.0
min,11.0,13.0,13.0,14.0,20.0,33.0
fore,13.0,15.0,16.0,11.0,10.0,13.0
oilext,11.0,12.0,17.0,14.0,16.0,15.0
smwork,10.0,12.0,12.0,11.0,11.0,12.0
mills,8.0,13.0,16.0,12.0,12.0,13.0
fact,11.0,14.0,16.0,16.0,17.0,10.0
foodpr,13.0,16.0,16.0,13.0,14.0,6.0
oilref,12.0,12.0,16.0,15.0,17.0,23.0
retail,14.0,17.0,17.0,13.0,13.0,7.0
itser,11.0,14.0,14.0,12.0,13.0,9.0
tourism,10.0,12.0,15.0,17.0,18.0,5.0
restau,9.0,12.0,16.0,16.0,19.0,6.0
transp,12.0,14.0,15.0,13.0,12.0,7.0
commun,13.0,15.0,17.0,16.0,16.0,6.0
bank,13.0,14.0,18.0,17.0,21.0,15.0
insur,10.0,13.0,17.0,16.0,17.0,12.0
pension,12.0,11.0,12.0,14.0,13.0,11.0
foodser,11.0,15.0,16.0,14.0,16.0,9.0
post,13.0,15.0,13.0,13.0,16.0,6.0
