,HOU_0-30,HOU_30-60,HOU_60-90,HOU_90-95,HOU_95-100,GOV
farm,13.852357350578316,14.841811447048196,16.82071963998795,15.831265543518075,12.86290325410843,7.915632771759038
fish,14.97300224772728,16.4703024725,23.956803596363635,31.443304720227278,34.43790516977272,10.48110157340909
min,12.204542964519227,14.423550776249995,14.423550776249995,15.533054682115385,22.19007811730769,36.61362889355769
fore,9.562760041,11.033953893461538,11.769550819692306,8.091566188538458,7.355969262307689,9.562760041
oilext,12.395516199000008,13.522381308000002,19.156706853000006,15.776111526000003,18.029841744000002,16.902976634999998
smwork,10.47607591852942,12.571291102235298,12.571291102235298,11.52368351038235,11.52368351038235,12.571291102235298
mills,7.298755715351353,11.86047803744594,14.597511430702703,10.948133573027032,10.948133573027032,11.86047803744594
fact,10.237530886000004,13.029584764000003,14.890954015999995,14.890954015999995,15.821638642000003,9.306846260000004
foodpr,6.652495942,8.187687313230768,8.187687313230768,6.652495942,7.164226399076924,3.0703827424615393
oilref,14.087325341052631,14.087325341052631,18.783100454736847,17.609156676315784,19.957044233157898,27.000706903684215
retail,12.798950789506176,15.541583101543205,15.541583101543205,11.884740018827161,11.884740018827161,6.399475394753088
itser,10.791272353068491,13.73434663117808,13.73434663117808,11.772297112438354,12.753321871808218,8.829222834328771
tourism,10.36150265207792,12.433803182493504,15.542253978116882,17.614554508532464,18.65070477374026,5.180751326038959
restau,10.09720525880769,13.462940345076921,17.950587126769236,17.950587126769236,21.316322213038465,6.731470172538461
transp,11.261147002849311,13.138004836657535,14.076433753561647,12.199575919753425,11.261147002849311,6.569002418328767
commun,14.360704322289163,16.570043448795175,18.7793825753012,17.67471301204819,17.67471301204819,6.628017379518073
bank,11.649896485367345,12.546042368857142,16.130625902816334,15.234480019326524,18.819063553285716,13.442188252346943
insur,11.299606327411766,14.689488225635287,19.209330756600004,18.079370123858812,19.209330756600004,13.559527592894115
pension,13.099025241534246,12.007439804739722,13.099025241534246,15.282196115123293,14.190610678328772,12.007439804739722
foodser,9.068047030370375,12.365518677777777,13.189886589629628,11.541150765925925,13.189886589629628,7.4193112066666655
post,10.300851793460525,11.885598223223683,10.300851793460525,10.300851793460525,12.677971438105265,4.754239289289475
