,HOU_0-30,HOU_30-60,HOU_60-90,HOU_90-95,HOU_95-100,GOV
farm,13.043280749614455,13.974943660301204,15.838269481674702,14.906606570987947,12.111617838927712,7.453303285493977
fish,12.296436807954546,13.526080488749995,19.674298892727276,25.822517296704547,28.281804658295457,8.607505765568185
min,11.56643903778846,13.669427953750002,13.669427953750002,14.720922411730768,21.02988915961538,34.69931711336539
fore,9.898144856333333,11.420936372692308,12.182332130871792,8.37535333997436,7.613957581794873,9.898144856333333
oilext,11.305299550470588,12.333054055058826,17.471826578000005,14.388563064235296,16.444072073411768,15.41631756882353
smwork,9.775386937058824,11.730464324470587,11.730464324470587,10.752925630764702,10.752925630764702,11.730464324470587
mills,6.902731800432434,11.216939175702702,13.805463600864869,10.354097700648648,10.354097700648648,11.216939175702702
fact,11.51428602866667,14.654545854666669,16.748052405333336,16.748052405333336,17.79480568066667,10.467532753333336
foodpr,12.0739678565,14.860268131076925,14.860268131076925,12.0739678565,13.00273461469231,5.5726005491538455
oilref,12.201351565515788,12.201351565515788,16.26846875402105,15.251689456894738,17.285248051147367,23.38592383390526
retail,12.140219654716052,14.741695295012347,14.741695295012347,11.27306110795062,11.27306110795062,6.070109827358026
itser,11.12597151630137,14.160327384383564,14.160327384383564,12.13742347232877,13.148875428356163,9.103067604246574
tourism,9.5843923812987,11.501270857558438,14.376588571948055,16.29346704820779,17.25190628633766,4.79219619064935
restau,9.002521816038458,12.003362421384615,16.004483228512818,16.004483228512818,19.005323833858974,6.001681210692305
transp,10.467188799780821,12.211720266410959,13.08398599972603,11.339454533095894,10.467188799780821,6.105860133205479
commun,12.579184869385543,14.514444080060244,16.449703290734945,15.482073685397589,15.482073685397589,5.805777632024097
bank,10.53321486020408,11.343462157142856,14.58445134489796,13.774204047959179,17.015193235714282,12.15370945408163
insur,9.635339050117649,12.525940765152937,16.380076385199995,15.416542480188234,16.380076385199995,11.562406860141174
pension,11.659497833917806,10.687873014424657,11.659497833917806,13.602747472904106,12.631122653410959,10.687873014424657
foodser,8.780838292246916,11.973870398518521,12.77212842508642,11.175612371950617,12.77212842508642,7.184322239111111
post,9.96367439531579,11.496547379210526,9.96367439531579,9.96367439531579,12.262983871157894,4.5986189516842115
